,addresses,zip,lat,long
0,3200 Thousand Oaks Dr,78247-3317,29.572974,-98.436752
1,6804 S Flores St,78221-1902,29.352534,-98.489222
2,215 Audrey Alene Dr,78216-6610,29.50326,-98.503986
3,3602 Se Military Dr,78223-4582,29.353559,-98.425234
4,100 Pansy Ln,78209,29.487718,-98.435759
5,3200 S Hackberry St,78210,29.388004,-98.473421
6,9910 Sugarloaf Dr,78245-1147,29.434926,-98.675149
7,3507 Piedmont Ave,78223-1367,29.382693,-98.466861
8,349 Alicia,78228-5806,29.447661,-98.579132
9,1502 W Mistletoe Ave,78201-5445,29.45436,-98.519284
